,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_n_iter_no_change,param_max_iter,param_loss,param_class_weight,param_alpha,params,mean_test_score,std_test_score,rank_test_score
0,0.08393771409988403,0.026116580354307643,0.001320517063140869,0.0005635577307091279,l2,15,7000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'l2', 'n_iter_no_change': 15, 'max_iter': 7000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.553876418988648,0.03559570499904418,48
50,0.1447025203704834,0.04224114431202083,0.0011304187774658202,0.00039145150078658886,elasticnet,15,17000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 17000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.5530985552115583,0.03598145338110932,49
27,0.14264189958572387,0.04393227169339102,0.0011804342269897462,0.00040958049001680094,elasticnet,15,11000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 11000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.5521620227038183,0.03569032200526523,50
97,0.14681427001953126,0.04343066468118144,0.0011903309822082519,0.00039253288138878695,elasticnet,15,15000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 15000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.5507533539731682,0.03591606178611367,51
74,0.0037303829193115236,0.0007859296021637582,0.0013207101821899414,0.0006308582908653454,l2,15,17000,hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'l2', 'n_iter_no_change': 15, 'max_iter': 17000, 'loss': 'hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5503108875128998,0.038487020978227954,52
52,0.0035207080841064453,0.0007809534926110886,0.0011103105545043944,0.0003130119446097296,l2,15,15000,hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'l2', 'n_iter_no_change': 15, 'max_iter': 15000, 'loss': 'hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5454089267285862,0.03835146259136463,53
24,1.3921830010414125,0.16946451555812792,0.0010903191566467285,0.0003493701720064141,elasticnet,15,7000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 7000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5398129514963881,0.05192280943221705,54
10,0.27625963926315306,0.29662721988786217,0.0012155508995056153,0.0004199193720292795,l1,15,19000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 19000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5368343653250774,0.037541742435526326,55
68,0.0043809604644775395,0.0018592957282032518,0.0011803579330444335,0.0004095851116252255,l2,15,15000,perceptron,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'l2', 'n_iter_no_change': 15, 'max_iter': 15000, 'loss': 'perceptron', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5356372549019607,0.03151639162717983,56
60,0.2274211072921753,0.194019991835383,0.0012605142593383788,0.0005220740402427822,l1,15,15000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 15000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5354656862745096,0.038675862353877856,57
14,0.07692847728729248,0.019169352370544984,0.001130547523498535,0.00036516040449642437,l1,15,11000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 11000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.5344775541795665,0.0334822970914759,58
35,0.008151624202728271,0.001768985929282103,0.0011904597282409667,0.00046260743089059835,l2,15,13000,perceptron,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'l2', 'n_iter_no_change': 15, 'max_iter': 13000, 'loss': 'perceptron', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.5343575851393189,0.038635146641005175,59
83,0.08004914999008178,0.02029616158994432,0.0011105537414550781,0.0003974511784307823,l1,15,15000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 15000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.5335358617131063,0.03731703789749258,60
55,0.007841746807098388,0.0010558809021301505,0.0011402511596679688,0.00044782764618312424,l2,15,15000,perceptron,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'l2', 'n_iter_no_change': 15, 'max_iter': 15000, 'loss': 'perceptron', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.5330379256965945,0.03121504699956405,61
69,0.0041609048843383786,0.0010930627642596023,0.001260361671447754,0.00048226050088773454,l2,15,5000,perceptron,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'l2', 'n_iter_no_change': 15, 'max_iter': 5000, 'loss': 'perceptron', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5327825077399381,0.03342732242001205,62
98,0.07837730646133423,0.02326543044493303,0.0012504148483276367,0.00043319656707482693,l1,15,19000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 19000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.5324961300309597,0.034444444860462796,63
21,0.23294323444366455,0.21956392445336845,0.0011402106285095216,0.0003749071833257146,l1,15,5000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 5000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5317711558307533,0.034200097285250135,64
64,0.003230736255645752,0.00042111076847172813,0.0010602593421936036,0.00023757615359598668,l2,15,11000,perceptron,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'l2', 'n_iter_no_change': 15, 'max_iter': 11000, 'loss': 'perceptron', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5311984004127968,0.03479183418364741,65
22,2.5684953594207762,0.909042268506053,0.0010633516311645509,0.0010059696974796964,elasticnet,15,17000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 17000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5288106295149639,0.05943681792684649,66
41,0.07510663032531738,0.018003717340474557,0.001140446662902832,0.00034705863437120327,l1,15,17000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 17000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.5287732198142414,0.033457335953458595,67
61,0.012722835540771485,0.0018339012451290728,0.0011102581024169922,0.0003130076299840976,elasticnet,15,5000,perceptron,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 5000, 'loss': 'perceptron', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.5285100619195048,0.035666250433452736,68
93,0.003110628128051758,0.0003432556088009015,0.0009702682495117187,0.00017063531259773753,l2,15,7000,perceptron,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'l2', 'n_iter_no_change': 15, 'max_iter': 7000, 'loss': 'perceptron', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5280766253869968,0.03246908573297954,69
87,0.7677842259407044,0.04428829940632641,0.0011404681205749512,0.0003469326937867781,l2,15,7000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'l2', 'n_iter_no_change': 15, 'max_iter': 7000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5261326109391126,0.05729634107834706,70
34,0.01331289529800415,0.00217195128151543,0.0011903572082519532,0.0006886097798963499,elasticnet,15,9000,perceptron,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 9000, 'loss': 'perceptron', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.5259365325077399,0.029905493411053828,71
67,0.009372122287750244,0.002752548761607448,0.0011402463912963867,0.00034717995031729765,l1,15,15000,perceptron,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 15000, 'loss': 'perceptron', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.5242285861713106,0.03446335511888024,72
71,0.013302464485168457,0.002917631779840494,0.0012007927894592285,0.000529095197984517,elasticnet,15,15000,perceptron,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 15000, 'loss': 'perceptron', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.523703560371517,0.030002372292410477,73
19,0.009161722660064698,0.0013021063495243666,0.0011304593086242675,0.0003364468486138164,l1,15,19000,perceptron,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 19000, 'loss': 'perceptron', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.5187125902992776,0.030285138133088182,74
30,0.005461111068725586,0.000537071661800299,0.0011303305625915527,0.0003914016252986275,elasticnet,15,11000,perceptron,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 11000, 'loss': 'perceptron', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5171968524251807,0.03080283967120997,75
49,0.009201979637145996,0.0015170015142006049,0.0011503458023071288,0.0003572800049133282,l1,15,7000,perceptron,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.001,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 7000, 'loss': 'perceptron', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.001}",0.5164641382868936,0.028149015261167237,76
12,0.008752093315124512,0.01248595764457807,0.0011001491546630859,0.0004583879556626689,l1,15,11000,hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 11000, 'loss': 'hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5151509287925697,0.030579043470999236,77
92,1.1281633710861205,0.185411561954637,0.0011504077911376953,0.0005725892847244802,l2,15,11000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'l2', 'n_iter_no_change': 15, 'max_iter': 11000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5142776057791538,0.06149431511324376,78
47,0.00895254611968994,0.009901026814260316,0.0012396717071533204,0.0007632595466042873,l1,15,5000,hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 5000, 'loss': 'hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5098516511867905,0.02303668508013652,79
28,0.061003549098968504,0.32471895912628457,0.0011604189872741698,0.0003667441248148738,l1,15,13000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 13000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5075915892672859,0.023539066141839208,80
5,0.09476171255111694,0.42792131904793534,0.0013206076622009277,0.0005813936592422791,l1,15,17000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 17000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5072200722394221,0.020546579306428177,81
9,0.04942111492156982,0.21531782653709441,0.0011107039451599121,0.0003130969746070998,l1,15,7000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 7000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5060461816305469,0.02218199169041237,82
72,0.006191289424896241,0.0013764452862944769,0.0011505222320556641,0.00038414809185114557,l1,15,11000,hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 11000, 'loss': 'hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5,0.0,83
37,0.0062812137603759765,0.0017500418154126423,0.0011604619026184082,0.0003931318400613952,elasticnet,15,11000,hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 11000, 'loss': 'hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5,0.0,83
96,0.005680997371673584,0.0026305049425218276,0.0011906123161315918,0.0004170832112005679,l1,15,19000,perceptron,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 19000, 'loss': 'perceptron', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5,0.0,83
1,0.006000826358795166,0.0013714692054019755,0.0011606168746948241,0.0004409272992338639,l1,15,7000,modified_huber,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 7000, 'loss': 'modified_huber', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5,0.0,83
94,0.006371259689331055,0.0006879389620428798,0.0010903644561767577,0.00028643860894426434,elasticnet,15,19000,log,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 19000, 'loss': 'log', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5,0.0,83
36,0.005349929332733154,0.0007262551392729057,0.0011713552474975587,0.0004706215831101963,l1,15,9000,perceptron,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 9000, 'loss': 'perceptron', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5,0.0,83
6,0.0063211417198181154,0.0019026088124761502,0.0013704490661621094,0.0018151341135909547,l1,15,15000,hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 15000, 'loss': 'hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5,0.0,83
