,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_degree,param_class_weight,param_C,params,mean_test_score,std_test_score,rank_test_score
32,0.0701756763458252,0.004256945337775502,0.012222871780395508,0.0012218237257348985,sigmoid,auto,2,"{1: 0.7832436587240584, 0: 0.2167563412759416}",300,"{'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 2, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 300}",0.5497561919504643,0.02672594813052159,82
80,0.07022566795349121,0.0051279959638529365,0.012332861423492431,0.0016500899285090973,sigmoid,auto,5,"{1: 0.7832436587240584, 0: 0.2167563412759416}",300,"{'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 5, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 300}",0.5497561919504643,0.02672594813052159,82
26,0.06192344665527344,0.008083872222984245,0.012833094596862793,0.0035336907984888084,poly,auto,5,"{1: 0.7832436587240584, 0: 0.2167563412759416}",190,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 5, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 190}",0.5174922600619195,0.012095577762249062,84
96,0.058863241672515866,0.0033991448807408147,0.012422668933868408,0.0012904037231909829,poly,auto,8,"{1: 0.7832436587240584, 0: 0.2167563412759416}",140,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 8, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 140}",0.5,0.0,85
66,0.06428040504455566,0.006642953065725118,0.01313260555267334,0.0024648095767923982,poly,auto,8,"{1: 0.7832436587240584, 0: 0.2167563412759416}",240,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 8, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 240}",0.5,0.0,85
42,0.06653496742248535,0.008659824827924191,0.014312915802001953,0.004587303204158921,poly,auto,9,"{1: 0.7832436587240584, 0: 0.2167563412759416}",190,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 9, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 190}",0.5,0.0,85
31,0.05773277997970581,0.004586071796142361,0.011952898502349853,0.0017288623844818297,poly,auto,7,"{1: 0.7832436587240584, 0: 0.2167563412759416}",290,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 7, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 290}",0.5,0.0,85
29,0.06295384168624878,0.007720439710192458,0.01314324140548706,0.003912665088355127,poly,auto,9,"{1: 0.7832436587240584, 0: 0.2167563412759416}",120,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 9, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 120}",0.5,0.0,85
49,0.057044641971588136,0.003279753222559298,0.01179847002029419,0.0010303206997869462,poly,auto,6,"{1: 0.7832436587240584, 0: 0.2167563412759416}",120,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 6, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 120}",0.49997549019607845,0.00024386946987907265,90
79,0.06042304515838623,0.005205004048361766,0.011272733211517333,0.0013107170610874822,sigmoid,scale,4,"{1: 0.7832436587240584, 0: 0.2167563412759416}",230,"{'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 4, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 230}",0.4969904540763674,0.037091710387057886,91
67,0.06466395139694214,0.007916916609079944,0.011703028678894042,0.0017062411828729456,sigmoid,scale,5,"{1: 0.7832436587240584, 0: 0.2167563412759416}",250,"{'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 5, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 250}",0.49628869969040246,0.037333111944652296,92
37,0.06753414869308472,0.00773559095382629,0.012152724266052246,0.0015060147785401386,sigmoid,scale,6,"{1: 0.7832436587240584, 0: 0.2167563412759416}",250,"{'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 6, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 250}",0.49628869969040246,0.037333111944652296,92
88,0.060673308372497556,0.005360735657068172,0.011262617111206054,0.0013088987787325946,sigmoid,scale,9,"{1: 0.7832436587240584, 0: 0.2167563412759416}",210,"{'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 9, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 210}",0.4959700722394221,0.037476569715971464,94
75,0.06060310840606689,0.004780257108611961,0.011482803821563721,0.0017919546605725633,sigmoid,scale,2,"{1: 0.7832436587240584, 0: 0.2167563412759416}",170,"{'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 2, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 170}",0.4958604231166151,0.0381517194473014,95
95,0.06036322116851807,0.005213716121604597,0.011282451152801513,0.0010112343717371857,sigmoid,scale,6,"{1: 0.7832436587240584, 0: 0.2167563412759416}",170,"{'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 6, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 170}",0.4958604231166151,0.0381517194473014,95
64,0.06506033897399903,0.00808664213834084,0.012332093715667725,0.0032570738688276,sigmoid,scale,8,"{1: 0.7832436587240584, 0: 0.2167563412759416}",140,"{'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 8, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 140}",0.49564370485036124,0.03769059279498824,97
0,0.056452171802520754,0.0062199221952406155,0.010412728786468506,0.0009602106240673103,sigmoid,scale,4,"{1: 0.7832436587240584, 0: 0.2167563412759416}",280,"{'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 4, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 280}",0.4952928276573787,0.03686648096279624,98
11,0.05887317180633545,0.0058338697178063345,0.010712332725524902,0.0008869817621629747,sigmoid,scale,6,"{1: 0.7832436587240584, 0: 0.2167563412759416}",110,"{'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 6, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 110}",0.49425309597523215,0.035776437015869175,99
99,0.061654865741729736,0.0065713050168261225,0.011092770099639892,0.001960719953521339,sigmoid,scale,2,"{1: 0.7832436587240584, 0: 0.2167563412759416}",120,"{'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 2, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 120}",0.4935113519091846,0.03458108180485343,100
